symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,price-binned,fuel-type_diesel,fuel-type_gas
33,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,7129,Low,0,1
34,0,110.0,honda,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,7295,Low,0,1
35,0,78.0,honda,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,34,7295,Low,0,1
36,0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,7895,Low,0,1
37,0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,9095,Low,0,1
38,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,8845,Low,0,1
39,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,10295,Low,0,1
40,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,28,12945,Low,0,1
41,1,107.0,honda,std,two,sedan,fwd,front,96.5,0.417910447761194,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,31,10345,Low,0,1
42,0,122.0,isuzu,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,29,6785,Low,0,1
43,2,122.0,isuzu,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,29,11048,Low,0,1
44,0,145.0,jaguar,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19,32250,High,0,1
45,0,122.0,jaguar,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19,35550,High,0,1
46,0,122.0,jaguar,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,18.076923076923077,17,36000,High,0,1
47,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,31,5195,Low,0,1
48,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6095,Low,0,1
49,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6795,Low,0,1
50,1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6695,Low,0,1
51,1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,38,7395,Low,0,1
52,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23,10945,Low,0,1
53,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23,11845,Low,0,1
54,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23,13645,Low,0,1
55,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.330710659898477,3.256903553299492,9.4,135.0,6000.0,14.6875,23,15645,Low,0,1
56,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,8845,Low,0,1
57,0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,8495,Low,0,1
58,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,10595,Low,0,1
59,0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,10245,Low,0,1
60,0,122.0,mazda,std,four,sedan,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,42,10795,Low,1,0
61,0,115.0,mazda,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,11245,Low,0,1
62,0,118.0,mazda,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,12.368421052631579,27,18280,Low,0,1
63,0,122.0,mazda,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,39,18344,Low,1,0
64,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,25552,Medium,1,0
65,-1,93.0,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,28248,Medium,1,0
66,0,93.0,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,28176,Medium,1,0
67,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,31600,Medium,1,0
68,-1,122.0,mercedes-benz,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18,34184,High,0,1
69,3,142.0,mercedes-benz,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18,35056,High,0,1
70,0,122.0,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16,40960,High,0,1
71,1,122.0,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16,45400,High,0,1
72,1,122.0,mercury,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.9444444444444444,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,12.368421052631579,24,16503,Low,0,1
73,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8944444444444445,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41,5389,Low,0,1
74,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8944444444444445,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6189,Low,0,1
75,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8944444444444445,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6669,Low,0,1
76,1,161.0,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.8861111111111111,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,7689,Low,0,1
77,3,153.0,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.9083333333333334,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9959,Low,0,1
78,3,153.0,mitsubishi,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.9083333333333334,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,8499,Low,0,1
79,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.9208333333333333,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12.368421052631579,24,12629,Low,0,1
80,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.9208333333333333,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24,14869,Low,0,1
81,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.9208333333333333,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24,14489,Low,0,1
82,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.9083333333333334,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,6989,Low,0,1
83,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.9083333333333334,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,8189,Low,0,1
84,1,125.0,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9279,Low,0,1
85,-1,137.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9279,Low,0,1
86,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,5499,Low,0,1
87,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,50,7099,Low,1,0
88,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,6649,Low,0,1
89,1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,6849,Low,0,1
90,1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.8861111111111111,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7349,Low,0,1
91,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7299,Low,0,1
92,1,128.0,nissan,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.8861111111111111,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7799,Low,0,1
93,1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.8861111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7499,Low,0,1
94,1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.8861111111111111,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7999,Low,0,1
95,2,168.0,nissan,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.8861111111111111,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,8249,Low,0,1
96,0,106.0,nissan,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.9055555555555556,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34,8949,Low,0,1
97,0,106.0,nissan,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.9055555555555556,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34,9549,Low,0,1
98,0,128.0,nissan,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.9236111111111112,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,22,13499,Low,0,1
99,0,108.0,nissan,std,four,wagon,fwd,front,100.4,0.6492537313432836,0.9236111111111112,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,22,14399,Low,0,1
100,0,108.0,nissan,std,four,sedan,fwd,front,100.4,0.6492537313432836,0.9236111111111112,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,12.368421052631579,25,13499,Low,0,1
101,3,194.0,nissan,std,two,hatchback,rwd,front,91.3,0.4417910447761193,0.9430555555555556,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.368421052631579,25,17199,Low,0,1
102,3,194.0,nissan,turbo,two,hatchback,rwd,front,91.3,0.4417910447761193,0.9430555555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,13.823529411764707,23,19699,Medium,0,1
103,1,231.0,nissan,std,two,hatchback,rwd,front,99.2,0.5582089552238807,0.9430555555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.368421052631579,25,18399,Low,0,1
104,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,24,11900,Low,0,1
105,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33,13200,Low,1,0
106,0,122.0,peugot,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.9500000000000001,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,24,12440,Low,0,1
107,0,122.0,peugot,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.9500000000000001,0.9816053511705687,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,25,13860,Low,1,0
108,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.368421052631579,24,15580,Low,0,1
109,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33,16900,Low,1,0
110,0,122.0,peugot,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.9500000000000001,0.948160535117057,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.368421052631579,24,16695,Low,0,1
111,0,122.0,peugot,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.9500000000000001,0.9816053511705687,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,25,17075,Low,1,0
112,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,24,16630,Low,0,1
113,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.9500000000000001,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33,17950,Low,1,0
114,0,161.0,peugot,turbo,four,sedan,rwd,front,108.0,0.6805970149253731,0.9486111111111111,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,13.055555555555555,24,18150,Low,0,1
115,1,119.0,plymouth,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41,5572,Low,0,1
116,1,119.0,plymouth,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,7957,Low,0,1
117,1,154.0,plymouth,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6229,Low,0,1
118,1,154.0,plymouth,std,four,sedan,fwd,front,93.7,0.39104477611940325,0.8861111111111111,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6692,Low,0,1
